date,temperature_2m
2025-02-14 10:00:00+00:00,-1.6035
2025-02-14 11:00:00+00:00,-2.0535
2025-02-14 12:00:00+00:00,-2.3035
2025-02-14 13:00:00+00:00,-1.3535
2025-02-14 14:00:00+00:00,1.7965
2025-02-14 15:00:00+00:00,4.5465
2025-02-14 16:00:00+00:00,6.7965
2025-02-14 17:00:00+00:00,8.7965
2025-02-14 18:00:00+00:00,10.5965
2025-02-14 19:00:00+00:00,11.8465
2025-02-14 20:00:00+00:00,11.5965
2025-02-14 21:00:00+00:00,12.0465
2025-02-14 22:00:00+00:00,11.6465
2025-02-14 23:00:00+00:00,10.5465
2025-02-15 00:00:00+00:00,8.7965
2025-02-15 01:00:00+00:00,8.3465
2025-02-15 02:00:00+00:00,7.9465
2025-02-15 03:00:00+00:00,7.2465
2025-02-15 04:00:00+00:00,6.6465
2025-02-15 05:00:00+00:00,6.3465
2025-02-15 06:00:00+00:00,5.8965
2025-02-15 07:00:00+00:00,5.5465
2025-02-15 08:00:00+00:00,5.5965
2025-02-15 09:00:00+00:00,6.1965
2025-02-15 10:00:00+00:00,6.2465
2025-02-15 11:00:00+00:00,6.0465
2025-02-15 12:00:00+00:00,5.9465
2025-02-15 13:00:00+00:00,5.3965
2025-02-15 14:00:00+00:00,5.7465
2025-02-15 15:00:00+00:00,6.2965
2025-02-15 16:00:00+00:00,7.0465
2025-02-15 17:00:00+00:00,8.4465
2025-02-15 18:00:00+00:00,10.1965
2025-02-15 19:00:00+00:00,12.0965
2025-02-15 20:00:00+00:00,13.8965
2025-02-15 21:00:00+00:00,17.1965
2025-02-15 22:00:00+00:00,17.1465
2025-02-15 23:00:00+00:00,17.4465
2025-02-16 00:00:00+00:00,17.0965
2025-02-16 01:00:00+00:00,9.5965
2025-02-16 02:00:00+00:00,10.1965
2025-02-16 03:00:00+00:00,10.8465
2025-02-16 04:00:00+00:00,12.2965
2025-02-16 05:00:00+00:00,13.0465
2025-02-16 06:00:00+00:00,13.8465
2025-02-16 07:00:00+00:00,14.8465
2025-02-16 08:00:00+00:00,15.4965
2025-02-16 09:00:00+00:00,16.1465
2025-02-16 10:00:00+00:00,16.6965
2025-02-16 11:00:00+00:00,16.6465
2025-02-16 12:00:00+00:00,15.4465
2025-02-16 13:00:00+00:00,13.3965
2025-02-16 14:00:00+00:00,13.6965
2025-02-16 15:00:00+00:00,12.9465
2025-02-16 16:00:00+00:00,11.5465
2025-02-16 17:00:00+00:00,10.0965
2025-02-16 18:00:00+00:00,10.0465
2025-02-16 19:00:00+00:00,10.4465
2025-02-16 20:00:00+00:00,10.2465
2025-02-16 21:00:00+00:00,9.0465
2025-02-16 22:00:00+00:00,7.7465
2025-02-16 23:00:00+00:00,6.1465
2025-02-17 00:00:00+00:00,4.5465
2025-02-17 01:00:00+00:00,2.9965
2025-02-17 02:00:00+00:00,2.5465
2025-02-17 03:00:00+00:00,1.7965
2025-02-17 04:00:00+00:00,1.1465
2025-02-17 05:00:00+00:00,0.84650004
2025-02-17 06:00:00+00:00,0.69649994
2025-02-17 07:00:00+00:00,0.54649997
2025-02-17 08:00:00+00:00,0.19649997
2025-02-17 09:00:00+00:00,-0.2535
2025-02-17 10:00:00+00:00,-0.90349996
2025-02-17 11:00:00+00:00,-1.1535
2025-02-17 12:00:00+00:00,-1.6035
2025-02-17 13:00:00+00:00,-1.3535
2025-02-17 14:00:00+00:00,-0.30350003
2025-02-17 15:00:00+00:00,0.8965
2025-02-17 16:00:00+00:00,2.3965
2025-02-17 17:00:00+00:00,3.8965
2025-02-17 18:00:00+00:00,5.2965
2025-02-17 19:00:00+00:00,6.3965
2025-02-17 20:00:00+00:00,7.1465
2025-02-17 21:00:00+00:00,7.4465
2025-02-17 22:00:00+00:00,6.9465
2025-02-17 23:00:00+00:00,5.5965
2025-02-18 00:00:00+00:00,3.7965002
2025-02-18 01:00:00+00:00,3.3465
2025-02-18 02:00:00+00:00,2.3465
2025-02-18 03:00:00+00:00,1.6465
2025-02-18 04:00:00+00:00,1.0465
2025-02-18 05:00:00+00:00,0.44649997
2025-02-18 06:00:00+00:00,0.09649998
2025-02-18 07:00:00+00:00,-0.15350002
2025-02-18 08:00:00+00:00,-0.6535
2025-02-18 09:00:00+00:00,-1.1035
2025-02-18 10:00:00+00:00,-1.5534999
